List Date,Forbidden,Limited,Semi-Limited
Jul-99,0,3,0
Feb-00,0,11,3
May-00,0,12,3
Jul-00,0,14,5
Aug-00,0,15,5
Nov-00,0,21,6
01-Jan,0,27,10
01-May,0,26,11
02-Jan,0,28,11
02-May,0,42,10
03-Jan,0,49,9
03-Apr,0,48,7
03-Jul,0,49,7
03-Oct,0,52,8
04-Mar,10,42,8
04-Sep,13,45,7
05-Mar,18,45,13
05-Sep,22,48,10
06-Mar,28,53,11
06-Sep,31,53,11
07-Mar,36,53,11
07-Sep,38,58,14
08-Mar,40,57,12
08-Sep,43,56,13
09-Mar,42,60,16
09-Sep,45,62,18
10-Mar,45,69,21
10-Sep,47,66,19
11-Mar,50,65,19
11-Sep,52,65,18
12-Mar,56,59,25
12-Sep,56,61,28
13-Mar,58,59,26
13-Sep,61,60,26
13-Nov,62,61,26
14-Feb,62,63,27
14-Apr,62,65,23
14-Jul,62,62,25
14-Oct,62,67,22
15-Jan,56,76,18
15-Apr,56,71,16
15-Jul,56,71,16
15-Oct,57,60,20
16-Jan,60,60,20
16-Apr,62,76,12
16-Jul,61,74,14
16-Oct,61,69,18
17-Jan,56,77,13
17-Apr,58,74,18
17-Jul,59,66,23
17-Oct,60,73,17
18-Jan,61,75,21
18-Apr,61,80,17
18-Jul,64,78,18
18-Oct,65,78,21
19-Jan,73,74,23
19-Apr,73,72,21
19-Jul,75,70,25
19-Oct,76,67,24
20-Jan,77,63,33
20-Apr,78,84,29
20-Jul,79,79,31
20-Oct,81,79,29
21-Jan,81,78,27
21-Feb,82,78,27
21-Apr,82,76,24
21-Jul,83,74,23
21-Oct,85,72,22
22-Jan,86,74,22
22-Apr,87,66,28
22-Jul,89,65,19
22-Oct,89,71,20
23-Jan,87,75,23
23-Apr,86,79,26
23-Jul,88,81,20
23-Oct,92,77,21
24-Jan,89,81,20
24-Apr,87,83,20
24-Jul,87,82,22
24-Oct,84,81,23
25-Jan,84,81,22
25-Apr,86,82,14
25-Jul,86,81,10
25-Oct,87,80,13
26-Jan,89,87,9
