List Date,Normal,Effect,Ritual,Fusion,Synchro,Xyz,Pendulum,Link,Spell,Trap
Jul-99,0,0,0,0,0,0,0,0,2,1
Feb-00,4,1,0,0,0,0,0,0,8,1
May-00,4,1,0,0,0,0,0,0,9,1
Jul-00,4,1,0,0,0,0,0,0,13,1
Aug-00,4,1,0,0,0,0,0,0,14,1
Nov-00,4,5,0,0,0,0,0,0,16,2
01-Jan,4,7,0,0,0,0,0,0,19,7
01-May,4,7,0,0,0,0,0,0,19,7
02-Jan,4,8,0,0,0,0,0,0,19,8
02-May,4,16,0,0,0,0,0,0,22,10
03-Jan,4,19,0,0,0,0,0,0,25,10
03-Apr,4,19,0,0,0,0,0,0,23,9
03-Jul,4,20,0,0,0,0,0,0,23,9
03-Oct,4,24,0,0,0,0,0,0,23,9
04-Mar,4,24,0,0,0,0,0,0,23,9
04-Sep,4,25,0,0,0,0,0,0,24,12
05-Mar,4,29,0,0,0,0,0,0,28,15
05-Sep,4,28,0,1,0,0,0,0,32,15
06-Mar,4,34,0,1,0,0,0,0,36,17
06-Sep,4,36,0,1,0,0,0,0,36,18
07-Mar,4,37,0,1,0,0,0,0,39,19
07-Sep,4,42,0,1,0,0,0,0,43,20
08-Mar,4,41,0,1,0,0,0,0,43,20
08-Sep,4,43,0,1,0,0,0,0,44,20
09-Mar,4,45,0,1,2,0,0,0,46,20
09-Sep,4,45,1,1,5,0,0,0,47,22
10-Mar,4,48,1,1,5,0,0,0,50,26
10-Sep,4,46,1,1,5,0,0,0,50,25
11-Mar,4,47,0,1,4,0,0,0,53,25
11-Sep,4,46,0,1,8,0,0,0,53,23
12-Mar,4,51,0,1,8,0,0,0,53,23
12-Sep,4,55,1,1,8,1,0,0,53,22
13-Mar,4,54,1,1,8,1,0,0,53,21
13-Sep,4,59,1,1,8,1,0,0,52,21
13-Nov,4,60,1,1,8,2,0,0,52,21
14-Feb,4,60,1,1,8,3,0,0,54,21
14-Apr,4,59,1,1,7,4,0,0,54,20
14-Jul,4,58,1,1,7,4,0,0,53,21
14-Oct,4,58,1,3,7,4,0,0,54,20
15-Jan,4,55,2,4,7,3,0,0,56,19
15-Apr,4,48,3,3,6,2,1,0,57,19
15-Jul,4,48,3,3,6,2,1,0,57,19
15-Oct,4,45,3,4,5,2,2,0,55,17
16-Jan,4,46,3,4,5,3,3,0,55,17
16-Apr,4,45,3,4,6,5,7,0,59,17
16-Jul,4,45,3,4,6,5,7,0,58,17
16-Oct,4,48,3,3,7,5,7,0,56,15
17-Jan,4,45,3,3,7,6,7,0,56,15
17-Apr,4,46,3,3,7,7,7,0,58,15
17-Jul,4,44,3,3,4,8,6,0,60,16
17-Oct,4,47,3,4,5,8,5,0,56,18
18-Jan,4,51,3,4,6,8,5,1,57,18
18-Apr,4,51,3,6,6,8,7,1,54,18
18-Jul,4,50,3,6,6,8,9,2,54,18
18-Oct,4,50,2,4,6,8,9,4,59,18
19-Jan,4,53,1,4,6,9,10,6,60,17
19-Apr,4,52,1,4,5,9,10,6,59,16
19-Jul,4,56,1,5,5,8,10,7,59,15
19-Oct,4,57,1,4,3,8,10,9,57,14
20-Jan,4,59,1,3,3,9,10,11,58,15
20-Apr,4,61,0,5,7,11,10,14,64,15
20-Jul,4,59,0,5,7,11,10,14,64,15
20-Oct,4,57,0,5,7,12,10,14,66,14
21-Jan,4,54,0,5,7,12,10,14,66,14
21-Feb,4,54,0,5,7,12,10,14,67,14
21-Apr,4,53,0,5,6,13,10,14,63,14
21-Jul,4,52,0,5,6,13,10,13,63,14
21-Oct,4,51,0,5,6,14,10,13,62,14
22-Jan,4,52,0,5,6,14,9,14,64,14
22-Apr,4,51,0,5,6,14,9,14,64,14
22-Jul,4,48,0,5,5,13,8,14,62,14
22-Oct,4,54,0,5,5,13,8,15,62,14
23-Jan,4,58,0,5,5,13,7,15,65,13
23-Apr,4,63,0,5,5,13,7,14,66,14
23-Jul,4,65,0,5,4,12,7,13,65,14
23-Oct,4,65,0,5,5,13,7,12,64,15
24-Jan,4,63,0,5,6,13,7,12,63,17
24-Apr,4,64,0,5,6,13,6,12,63,17
24-Jul,4,63,0,4,5,15,6,12,65,17
24-Oct,4,63,0,5,5,14,4,12,63,18
25-Jan,4,62,0,5,5,14,3,12,64,18
25-Apr,4,61,0,5,5,14,1,12,62,18
25-Jul,4,58,0,5,5,14,1,13,60,17
25-Oct,4,58,0,5,6,15,1,13,61,17
01-Jan,4,62,0,5,6,16,0,16,58,19
