List Date,Forbidden,Limited,Semi-Limited
02-May,0,11,4
02-Jul,0,11,5
02-Oct,0,19,4
02-Dec,0,29,4
03-Apr,0,33,3
03-May,0,35,4
03-Jul,0,40,8
03-Aug,0,43,6
03-Nov,0,45,6
04-Feb,0,48,7
04-Apr,3,48,7
04-Aug,13,38,7
04-Oct,11,44,7
05-Apr,18,41,15
05-Oct,22,46,12
06-Apr,26,48,12
06-Sep,31,46,12
07-Mar,34,47,12
07-Jun,33,50,12
07-Sep,37,55,15
08-Mar,38,55,13
08-May,39,55,14
08-Sep,41,57,14
09-Mar,40,59,18
09-Sep,43,62,17
10-Mar,44,69,20
10-Sep,45,64,19
11-Mar,49,65,19
11-Sep,51,65,19
12-Mar,55,58,27
12-Sep,55,60,30
13-Mar,57,58,28
13-Sep,72,63,20
13-Oct,72,64,20
14-Jan,75,69,15
14-Apr,77,70,15
14-Jul,76,69,16
14-Oct,74,69,17
15-Jan,73,67,16
15-Apr,68,70,16
15-Jul,69,65,17
15-Nov,73,71,14
16-Feb,76,74,14
16-Apr,76,78,15
16-Aug,78,82,15
17-Mar,75,85,17
17-Jun,76,84,16
17-Sep,80,81,16
17-Nov,80,85,16
18-Feb,82,83,7
18-May,87,79,7
18-Sep,84,87,9
18-Dec,85,86,8
19-Jan,87,87,4
19-Apr,90,88,5
19-Jul,90,86,12
19-Oct,91,85,6
20-Jan,95,86,6
20-Apr,99,92,3
20-Jun,99,89,3
20-Sep,98,87,5
20-Dec,101,85,2
21-Mar,101,83,1
21-Jul,100,85,2
21-Oct,101,84,4
22-Feb,101,83,6
22-May,99,81,9
22-Oct,99,83,4
22-Dec,101,80,4
23-Feb,103,81,3
23-Jun,105,79,8
23-Sep,106,79,7
24-Jan,106,81,7
24-Apr,105,84,6
24-Sep,107,83,13
24-Dec,109,80,10
25-Apr,109,83,16
25-Sep,108,90,11
25-Oct,115,89,11
