List Date,Normal,Effect,Ritual,Fusion,Synchro,Xyz,Pendulum,Link,Spell,Trap
02-May,4,3,0,0,0,0,0,0,7,1
02-Jul,4,3,0,0,0,0,0,0,8,1
02-Oct,4,4,0,0,0,0,0,0,14,1
02-Dec,4,7,0,0,0,0,0,0,17,5
03-Apr,4,7,0,0,0,0,0,0,19,6
03-May,4,8,0,0,0,0,0,0,21,6
03-Jul,4,14,0,0,0,0,0,0,23,7
03-Aug,4,14,0,0,0,0,0,0,23,8
03-Nov,4,16,0,0,0,0,0,0,23,8
04-Feb,4,19,0,0,0,0,0,0,24,8
04-Apr,4,22,0,0,0,0,0,0,24,8
04-Aug,4,22,0,0,0,0,0,0,24,8
04-Oct,4,24,0,0,0,0,0,0,25,9
05-Apr,4,30,0,0,0,0,0,0,28,12
05-Oct,4,29,0,1,0,0,0,0,33,13
06-Apr,4,32,0,1,0,0,0,0,34,15
06-Sep,4,34,0,1,0,0,0,0,34,16
07-Mar,4,34,0,1,0,0,0,0,36,18
07-Jun,4,35,0,1,0,0,0,0,37,18
07-Sep,4,41,0,1,0,0,0,0,42,19
08-Mar,4,40,0,1,0,0,0,0,42,19
08-May,4,40,0,1,0,0,0,0,43,20
08-Sep,4,45,0,1,0,0,0,0,43,19
09-Mar,4,47,0,1,1,0,0,0,45,19
09-Sep,4,46,1,1,3,0,0,0,46,21
10-Mar,4,49,1,1,4,0,0,0,49,25
10-Sep,4,46,1,1,4,0,0,0,49,23
11-Mar,4,48,0,1,3,0,0,0,53,24
11-Sep,4,47,0,1,8,0,0,0,53,22
12-Mar,4,52,0,1,8,0,0,0,53,22
12-Sep,4,56,1,1,8,1,0,0,53,21
13-Mar,4,55,1,1,8,1,0,0,53,20
13-Sep,4,60,2,1,8,3,0,0,52,25
13-Oct,4,60,2,1,8,3,0,0,52,26
14-Jan,4,59,2,1,8,2,0,0,56,27
14-Apr,4,62,2,1,8,2,0,0,56,27
14-Jul,4,62,2,1,8,2,0,0,56,26
14-Oct,4,61,2,1,7,2,0,0,57,26
15-Jan,4,59,2,1,7,2,0,0,56,25
15-Apr,4,52,3,1,6,2,1,0,58,27
15-Jul,4,52,3,1,5,3,1,0,56,26
15-Nov,4,56,4,3,4,4,1,0,57,25
16-Feb,4,57,4,3,4,5,5,0,57,25
16-Apr,4,55,4,4,5,5,6,0,62,24
16-Aug,4,58,4,3,5,6,7,0,64,24
17-Mar,4,59,4,3,5,6,7,0,65,24
17-Jun,4,60,4,3,5,6,5,0,65,24
17-Sep,4,59,4,3,7,8,5,0,62,25
17-Nov,4,62,4,3,7,8,5,0,63,25
18-Feb,4,60,4,3,6,8,7,1,58,21
18-May,4,57,4,5,7,8,8,1,59,20
18-Sep,4,57,4,5,8,9,8,3,63,19
18-Dec,4,57,4,5,8,9,8,3,62,19
19-Jan,4,56,3,5,7,10,8,4,63,18
19-Apr,4,57,3,5,7,11,8,6,64,18
19-Jul,4,65,3,5,6,11,6,7,63,18
19-Oct,4,59,3,4,6,11,6,9,62,18
20-Jan,4,56,3,5,8,13,7,8,66,17
20-Apr,4,57,3,6,10,14,8,8,67,17
20-Jun,4,56,2,5,10,14,8,8,67,17
20-Sep,4,57,1,5,10,14,8,8,66,17
20-Dec,4,56,0,4,10,13,8,9,67,17
21-Mar,4,55,1,4,8,15,8,8,66,16
21-Jul,4,56,1,4,8,15,8,10,65,16
21-Oct,4,57,1,4,8,15,7,11,66,16
22-Feb,4,56,1,4,8,16,6,12,68,15
22-May,4,56,1,4,8,15,6,15,65,15
22-Oct,4,57,0,4,8,15,6,15,62,15
22-Dec,4,58,0,4,8,15,6,16,61,13
23-Feb,4,61,0,5,8,14,5,17,60,13
23-Jun,4,60,0,5,8,15,5,18,62,15
23-Sep,4,59,0,5,8,15,5,18,63,15
24-Jan,4,59,0,5,8,15,5,21,59,18
24-Apr,4,56,0,5,10,15,5,22,58,20
24-Sep,4,56,0,6,9,17,3,24,63,20
24-Dec,4,53,0,6,8,17,2,24,64,20
25-Apr,4,56,0,6,8,20,1,25,67,20
25-Sep,4,51,0,6,8,22,1,27,67,21
25-Oct,4,55,0,6,8,23,1,27,67,22
26-Feb,4,56,1,6,10,22,1,29,65,23
